14 5 6 56783.00 I  0.086194 0.000022  0.445071 0.000019  I-0.2535433 0.0000046  1.2138 0.0032  I     0.277    0.051    -0.185    0.043  0.086218  0.444993 -0.2535523     0.028    -0.073  
14 5 7 56784.00 I  0.087383 0.000024  0.445529 0.000020  I-0.2547920 0.0000037  1.2802 0.0027  I     0.251    0.061    -0.196    0.040  0.087407  0.445508 -0.2548052     0.341    -0.127  
14 5 8 56785.00 I  0.088940 0.000024  0.446198 0.000019  I-0.2561130 0.0000030  1.3747 0.0024  I     0.229    0.058    -0.193    0.041  0.088971  0.446127 -0.2561005     0.241    -0.120  
14 5 9 56786.00 I  0.090363 0.000024  0.446751 0.000018  I-0.2575280 0.0000029  1.4290 0.0018  I     0.208    0.057    -0.186    0.039  0.090412  0.446742 -0.2575155     0.028    -0.073  
14 510 56787.00 I  0.091495 0.000024  0.446900 0.000017  I-0.2589592 0.0000020  1.4477 0.0018  I     0.198    0.054    -0.196    0.043  0.091516  0.446842 -0.2589546     0.028    -0.074  
14 511 56788.00 I  0.093115 0.000025  0.446756 0.000016  I-0.2604111 0.0000020  1.4294 0.0014  I     0.196    0.052    -0.226    0.043  0.093120  0.446733 -0.2604017     0.028    -0.073  
14 512 56789.00 I  0.095401 0.000025  0.446730 0.000015  I-0.2618037 0.0000020  1.3681 0.0015  I     0.196    0.052    -0.252    0.043  0.095450  0.446666 -0.2618137     0.250    -0.176  
14 513 56790.00 I  0.097749 0.000025  0.447077 0.000015  I-0.2631277 0.0000021  1.2481 0.0015  I     0.198    0.042    -0.259    0.044  0.097759  0.447045 -0.2631202     0.028    -0.074  
14 514 56791.00 I  0.099765 0.000026  0.447580 0.000015  I-0.2643015 0.0000021  1.1330 0.0015  I     0.202    0.119    -0.261    0.048  0.099823  0.447537 -0.2642922     0.235    -0.200  
14 515 56792.00 I  0.101334 0.000027  0.447924 0.000015  I-0.2654113 0.0000020  1.0706 0.0015  I     0.203    0.119    -0.272    0.050  0.101336  0.447890 -0.2654011     0.222    -0.209  
14 516 56793.00 I  0.102711 0.000025  0.448066 0.000015  I-0.2664394 0.0000020  0.9983 0.0015  I     0.203    0.119    -0.284    0.046  0.102754  0.448019 -0.2664293     0.212    -0.219  
14 517 56794.00 I  0.103929 0.000023  0.448087 0.000016  I-0.2674361 0.0000022  1.0106 0.0019  I     0.203    0.119    -0.287    0.051  0.103945  0.448045 -0.2674262     0.205    -0.229  
14 518 56795.00 I  0.104871 0.000023  0.448029 0.000015  I-0.2684805 0.0000032  1.0827 0.0021  I     0.204    0.047    -0.293    0.053  0.104918  0.447989 -0.2684641     0.201    -0.241  
14 519 56796.00 I  0.105840 0.000020  0.447839 0.000015  I-0.2696188 0.0000035  1.2068 0.0026  I     0.208    0.047    -0.296    0.055  0.105841  0.447812 -0.2696075     0.215    -0.263  
